% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-160.67583180946937       313.99227205652124       -142.17869799082013      0.4553564172872413
-158.00000000000003       314.00000000000017       -145.00000000000006      0.45594085272827517
-159.5411948049443        310.4486741400124        -144.99999999999997      0.4559408526758123
-163.23375218416135       314.0000000000001        -144.99999999999997      0.4559408522619011
-160.80702609816547       317.12982997792454       -144.99999999999997      0.4503608935508629
-144.00000000000003       286.00000000000017       -145.00000000000006      0.526301059746918
-146.40368212448325       282.9842702290749        -144.99999999999997      0.5269226166372195
-142                      284                      -145.00000000000006      0.5263010598715647
-146.070656374589         285.1875320636697        -141.83919502008467      0.5250553035222231
-148.67370318097892       285.4954045621962        -144.99999999999997      0.5163939510865506
-147.0262822172944        288.5940609760373        -144.99999999999997      0.5173465056659998
-153.71094476296932       282.74713179761045       -144.99999999999997      0.5014809161762581
-156.00000000000003       286.00000000000017       -145.00000000000006      0.4559408541816291
-156.87864015716735       282.00042271232445       -141.5369328012095       0.4962982015045247
-150.54028937640726       286.25793377375294       -141.06900667215845      0.510989842397361
-156.39385073539697       278.7128642548888        -144.99999999999997      0.5064595588069803
-158.00000000000003       284.0000000000001        -145.00000000000006      0.4559408541636953
-161.54238841918075       278.01948712552013       -144.99999999999997      0.49547010403153313
-156.9787017375941        321.0096337699929        -140.50260042215845      0.4522240114691342
-156.00000000000003       312.0000000000001        -145.00000000000006      0.4559408528911672
-159.15820932175995       306.6164621599202        -140.4772126055396       0.46524597489860386
-154.7174836280066        314.6742171613706        -140.50260042215848      0.46789547223422917
-154.5768297791887        317.0506874350492        -144.99999999999997      0.46363583173028505
-151.35166101945347       313.61738430733624       -144.99999999999997      0.47782597740204485
-146.1092066168883        314.4923040027901        -144.99999999999997      0.4952942649302425
-148.7720507033282        319.2282078050387        -144.99999999999997      0.4749294176839258
-144.626287218973         314.7628525430419        -141.30052167184422      0.4971280521350058
-144.00000000000003       312.0000000000001        -145.00000000000006      0.5263010579334625
-142                      314.00000000000017       -145.00000000000006      0.5263010579472055
-148.16482478893738       309.972345602204         -144.99999999999997      0.49544265880942917
-143.63122509940195       317.73815453587605       -144.99999999999997      0.4923732164992983
-138.99758372794426       318.79325254587104       -144.99999999999997      0.4967821478167472
-144.22415959594656       308.52613744431795       -140.58096809980796      0.5087576948429983
-136.7662478158387        314.0000000000002        -145.00000000000009      0.5263010582521929
-140.07458356860664       313.2613250798076        -138.66675321519864      0.5075748584187335
-140.1937188322137        310.15316134058963       -145.00000000000006      0.5263010583142946
-160.38200987292973       311.2255956582738        -135.97135042215842      0.4625378773874402
-175.99999999999997       258                      -144.99999999999997      0.5293655104031519
-174.00000000000003       260                      -144.99999999999997      0.5293655104169294
-175.39085957739832       258.9557059350984        -142.19420061434698      0.5048166929445265
-171.5240666962821        255.51894994444996       -144.99999999999997      0.5293655110182217
-177.95445912512633       261.7360707424795        -144.99999999999997      0.4848979483340571
-174.00000000000009       314.00000000000017       -144.99999999999997      0.45594085080671765
-176.00000000000006       312.0000000000001        -145.00000000000006      0.45594085069475015
-173.7673317998306        311.8662569138189        -139.89470795164183      0.43354287496706556
-177.1956060539556        316.7678380888708        -144.99999999999997      0.41228158312185853
-171.52434598836038       309.519062316943         -144.99999999999997      0.4559408514760295
-126.00000000000003       314.00000000000017       -145.00000000000006      0.5263010584697266
-124.00000000000003       312.0000000000001        -145.00000000000006      0.5263010585182643
-121.52446352217781       315.60388761909775       -144.99999999999997      0.508657179441607
-124.81928212578475       317.0910757292173        -141.45567018503618      0.5079851345265622
-129.72139602551994       311.8441931840972        -139.6988240186803       0.5204752399703062
-127.54977665712066       310.45920733703633       -145.00000000000006      0.526301058653459
-155.99999999999994       258                      -144.99999999999997      0.5293655125063603
-157.99999999999997       260                      -144.99999999999997      0.5293655123793859
-156.49413840342984       256.9712721803753        -141.60963761342296      0.5399366205927977
-154.95950544748484       262.04899164308415       -144.99999999999997      0.5404179518011232
-159.54138599444425       256.4487088464145        -144.99999999999997      0.5293655122662281
-143.4466526853475        291.3749703647239        -142.10669619877035      0.5239433428326113
-157.4188000901589        288.2370067281157        -138.21201072267226      0.49019677203581585
-159.8076334650993        287.8099413762862        -144.99999999999997      0.4559408535577764
-154.96222363064896       289.486404557322         -141.3926517893468       0.48713690677609367
-163.55156171214085       285.4572455242132        -135.93750000000003      0.48390920898497913
-165.16687066495197       281.4287860796268        -140.71729298701962      0.4805033840074328
-140.20430912059226       287.81712926050875       -145.00000000000006      0.526301059764399
-136.76624781583865       284                      -145.00000000000006      0.5263010600825854
-141.45536289264746       286.6472754044766        -139.73712672762875      0.5334691386967894
-149.2295914915791        291.18528991526944       -137.27341503295065      0.5129918730135772
-153.84554542936522       282.07030881154384       -137.04590410810968      0.5142339384596025
-142.12938493525021       281.6392841913165        -138.47392837726758      0.5419900866285746
-147.98741057992325       282.87713068009117       -137.20571418863378      0.5286652084922923
-144                      258                      -144.99999999999997      0.5976059323557151
-141.99999999999994       260                      -144.99999999999997      0.5976059324056309
-141.27531577255436       256.25742834505013       -141.0714942604033       0.5885548724562776
-140.19371883221362       256.1531613405894        -144.99999999999997      0.5976059326111146
-146.95631751873285       261.37429131720717       -140.7990533876258       0.5661927535102085
-146.28302184744152       261.16975142117184       -144.99999999999997      0.570145523035121
-126.00000000000003       284                      -145.00000000000006      0.526301060623398
-124.00000000000003       286.00000000000017       -145.00000000000006      0.5263010606447881
-128.17215688058565       288.18245722388343       -145.00000000000006      0.52630106022289
-127.2283450250952        283.46337012446037       -140.18228700774267      0.5528110281295109
-121.33156821331181       281.73830204329363       -144.99999999999997      0.5562475067171928
-152.0025974704704        308.3499242396668        -138.32684868029213      0.48498859011562584
-174                      229.99999999999997       -144.99999999999997      0.5293655114318917
-175.99999999999997       232                      -144.99999999999997      0.5293655113032941
-172.62885489878107       231.92285286527834       -141.60156249999997      0.521707512139944
-172.15331136344415       233.8256553122311        -144.99999999999997      0.5293655116881469
-122.65439517532216       203.5677835326865        -150                     0.3851767377436319
-122.49445536792551       207.65546007242776       -150                     0.3866631631173312
-119.84458275968778       201.71833659914438       -155.62254636345705      0.3902837045106444
-125.13483641825245       206.74119858823929       -155.1673381775334       0.3796594270987168
-128.22252371445154       206.00208082462566       -150                     0.37374287686976604
-174.48821390596018       227.192762441329         -139.90234374999997      0.5131266920089945
-178.03715463392146       228.04513313367153       -144.99999999999997      0.5030288378738911
-171.5245983983496        201.5198248145737        -144.99999999999997      0.5348003919457951
-176.0000000000001        204.00000000000014       -145.00000000000006      0.5348003915128129
-171.32837861464188       200.12100666376517       -139.27534210206426      0.5273855083942667
-174.00000000000014       206.00000000000014       -144.99999999999997      0.5348003916079006
-176.29543205911085       204.44229638795747       -136.94196995417636      0.5119533183794313
-177.67251807359904       208.05875170275715       -144.99999999999997      0.5095479846003632
-176                      286.00000000000017       -145.00000000000006      0.45594085240403537
-174.00000000000003       284.0000000000001        -145.00000000000006      0.45594085258215283
