node_type_id location pop_name model_type ei level_of_detail
100 LGN sON_TF1 virtual e filter
101 LGN sON_TF2 virtual e filter
102 LGN sON_TF4 virtual e filter
103 LGN sON_TF8 virtual e filter
104 LGN sOFF_TF1 virtual e filter
105 LGN sOFF_TF2 virtual e filter
106 LGN sOFF_TF4 virtual e filter
107 LGN sOFF_TF8 virtual e filter
108 LGN sOFF_TF15 virtual e filter
109 LGN tOFF_TF4 virtual e filter
110 LGN tOFF_TF8 virtual e filter
111 LGN tOFF_TF15 virtual e filter
112 LGN sONsOFF_001 virtual e filter
113 LGN sONtOFF_001 virtual e filter
