node_type_id location pop_name population morphology model_type ei model_processing model_template dynamics_params
100000117 VisL1 LIFi1Htr3a v1  point_process i  nrn:IntFire1 i1Htr3a_avg_lif.json
475585413 VisL1 i1Htr3a v1 Htr3a-Cre_NO152_Ai14-185347.03.02.01_492100857_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 475585413_fit.json
478107198 VisL1 i1Htr3a v1 Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 478107198_fit.json
100000102 VisL23 LIFe23Cux2 v1  point_process e  nrn:IntFire1 e23Cux2_avg_lif.json
487661754 VisL23 e23Cux2 v1 Cux2-CreERT2_Ai14-211772.05.02.01_496085150_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 487661754_fit.json
100000107 VisL23 LIFi23Htr3a v1  point_process i  nrn:IntFire1 i23Htr3a_avg_lif.json
327962063 VisL23 i23Htr3a v1 Htr3a-Cre_NO152_Ai14-175482.03.02.01_491119419_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 327962063_fit.json
464188580 VisL23 i23Htr3a v1 Htr3a-Cre_NO152_Ai14-178910.03.01.01_491120333_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 464188580_fit.json
469753383 VisL23 i23Htr3a v1 Htr3a-Cre_NO152_Ai14-178904.04.01.01_491120305_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 469753383_fit.json
473943881 VisL23 i23Htr3a v1 Htr3a-Cre_NO152_Ai14-182494.05.01.01_492100793_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 473943881_fit.json
474267418 VisL23 i23Htr3a v1 Htr3a-Cre_NO152_Ai14-182497.03.01.01_491119305_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 474267418_fit.json
475622680 VisL23 i23Htr3a v1 Htr3a-Cre_NO152_Ai14-185555.03.01.01_491119960_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 475622680_fit.json
475622793 VisL23 i23Htr3a v1 Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 475622793_fit.json
479220013 VisL23 i23Htr3a v1 Htr3a-Cre_NO152_Ai14-195039.04.02.01_491119581_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 479220013_fit.json
100000105 VisL23 LIFi23Pvalb v1  point_process i  nrn:IntFire1 i23Pvalb_avg_lif.json
341442651 VisL23 i23Pvalb v1 Pvalb-IRES-Cre_Ai14-178310.02.01.01_513557093_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 341442651_fit.json
484635029 VisL23 i23Pvalb v1 Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 484635029_fit.json
488501071 VisL23 i23Pvalb v1 Pvalb-IRES-Cre_Ai14-212440.05.02.01_500961631_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 488501071_fit.json
100000113 VisL23 LIFi23Sst v1  point_process i  nrn:IntFire1 i23Sst_avg_lif.json
324493977 VisL23 i23Sst v1 Sst-IRES-Cre_Ai14-173196.03.01.01_491770223_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 324493977_fit.json
473540161 VisL23 i23Sst v1 Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 473540161_fit.json
475068599 VisL23 i23Sst v1 Sst-IRES-Cre_Ai14-183332.06.02.01_495889919_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 475068599_fit.json
476686112 VisL23 i23Sst v1 Sst-IRES-Cre_Ai14-188740.03.02.01_491119369_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 476686112_fit.json
100000116 VisL4 LIFe4Nr5a1 v1  point_process e  nrn:IntFire1 e4Nr5a1_avg_lif.json
318733871 VisL4 e4Nr5a1 v1 Nr5a1-Cre_Ai14-169248.04.02.01_491253825_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 318733871_fit.json
318808427 VisL4 e4Nr5a1 v1 Nr5a1-Cre_Ai14-169250.03.02.01_491119754_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 318808427_fit.json
370351753 VisL4 e4Nr5a1 v1 Nr5a1-Cre_Ai14-177332.03.01.01_491120166_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 370351753_fit.json
386049446 VisL4 e4Nr5a1 v1 Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 386049446_fit.json
397351623 VisL4 e4Nr5a1 v1 Nr5a1-Cre_Ai14-177834.02.01.01_491458970_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 397351623_fit.json
