edge_type_id target_query source_query weight_sigma distance_range weight_function target_sections dynamics_params syn_weight delay model_template
100 node_type_id=='100000101' pop_name=='e5Rbp4' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.0359759875443 1.5 NULL
101 node_type_id=='100000101' pop_name=='e23Cux2' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.0177408938576 1.8 NULL
102 node_type_id=='100000101' pop_name=='i6Pvalb' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.0152088395155 0.9 NULL
103 node_type_id=='100000101' pop_name=='e4Scnn1a' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.0150363325007 1.5 NULL
104 node_type_id=='100000101' pop_name=='i23Pvalb' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.00113008845921 0.9 NULL
105 node_type_id=='100000101' pop_name=='e4other' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.0150363325007 1.5 NULL
106 node_type_id=='100000101' pop_name=='i5Pvalb' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.00506961317185 0.9 NULL
107 node_type_id=='100000101' pop_name=='i4Pvalb' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.00450815139788 0.9 NULL
108 node_type_id=='100000101' pop_name=='LIFe4Rorb' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.0150363325007 1.5 NULL
109 node_type_id=='100000101' pop_name=='e4Rorb' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.0150363325007 1.5 NULL
110 node_type_id=='100000101' pop_name=='i4Sst' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.00205008026393 1.5 NULL
111 node_type_id=='100000101' pop_name=='e4Nr5a1' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.0150363325007 1.5 NULL
112 node_type_id=='100000101' pop_name=='e5noRbp4' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.0359759875443 1.5 NULL
113 node_type_id=='100000101' pop_name=='e6Ntsr1' 30.0 NULL DirectionRule_EE NULL instanteneousExc.json 0.00541163173066 3.5 NULL
114 node_type_id=='100000101' pop_name=='i6Htr3a' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.0017986174408199996 1.5 NULL
115 node_type_id=='100000101' pop_name=='e4Rorb' 30.0 NULL DirectionRule_EE NULL instanteneousInh.json 0.0 1.5 NULL
116 node_type_id=='100000101' pop_name=='i23Sst' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.00156343861382 1.5 NULL
117 node_type_id=='100000101' pop_name=='i6Htr3a' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.0017986174408199996 1.5 NULL
118 node_type_id=='100000101' pop_name=='i5Htr3a' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.0017986174408199996 1.5 NULL
119 node_type_id=='100000101' pop_name=='i6Sst' 90.0 NULL DirectionRule_others NULL instanteneousInh.json 0.00195643428067 1.5 NULL
