node_type_id pop_name level_of_detail model_type location ei
100 sON_TF1 filter virtual LGN e
101 sON_TF2 filter virtual LGN e
102 sON_TF4 filter virtual LGN e
103 sON_TF8 filter virtual LGN e
104 sOFF_TF1 filter virtual LGN e
105 sOFF_TF2 filter virtual LGN e
106 sOFF_TF4 filter virtual LGN e
107 sOFF_TF8 filter virtual LGN e
108 sOFF_TF15 filter virtual LGN e
109 tOFF_TF4 filter virtual LGN e
110 tOFF_TF8 filter virtual LGN e
111 tOFF_TF15 filter virtual LGN e
112 sONsOFF_001 filter virtual LGN e
113 sONtOFF_001 filter virtual LGN e
