node_type_id model_processing dynamics_params population pop_name model_type morphology model_template location ei
100000117  i1Htr3a_avg_lif.json v1 LIFi1Htr3a point_process  nrn:IntFire1 VisL1 i
475585413 aibs_perisomatic 475585413_fit.json v1 i1Htr3a biophysical Htr3a-Cre_NO152_Ai14-185347.03.02.01_492100857_m.swc ctdb:Biophys1.hoc VisL1 i
478107198 aibs_perisomatic 478107198_fit.json v1 i1Htr3a biophysical Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc ctdb:Biophys1.hoc VisL1 i
100000102  e23Cux2_avg_lif.json v1 LIFe23Cux2 point_process  nrn:IntFire1 VisL23 e
487661754 aibs_perisomatic 487661754_fit.json v1 e23Cux2 biophysical Cux2-CreERT2_Ai14-211772.05.02.01_496085150_m.swc ctdb:Biophys1.hoc VisL23 e
100000107  i23Htr3a_avg_lif.json v1 LIFi23Htr3a point_process  nrn:IntFire1 VisL23 i
327962063 aibs_perisomatic 327962063_fit.json v1 i23Htr3a biophysical Htr3a-Cre_NO152_Ai14-175482.03.02.01_491119419_m.swc ctdb:Biophys1.hoc VisL23 i
464188580 aibs_perisomatic 464188580_fit.json v1 i23Htr3a biophysical Htr3a-Cre_NO152_Ai14-178910.03.01.01_491120333_m.swc ctdb:Biophys1.hoc VisL23 i
469753383 aibs_perisomatic 469753383_fit.json v1 i23Htr3a biophysical Htr3a-Cre_NO152_Ai14-178904.04.01.01_491120305_m.swc ctdb:Biophys1.hoc VisL23 i
473943881 aibs_perisomatic 473943881_fit.json v1 i23Htr3a biophysical Htr3a-Cre_NO152_Ai14-182494.05.01.01_492100793_m.swc ctdb:Biophys1.hoc VisL23 i
474267418 aibs_perisomatic 474267418_fit.json v1 i23Htr3a biophysical Htr3a-Cre_NO152_Ai14-182497.03.01.01_491119305_m.swc ctdb:Biophys1.hoc VisL23 i
475622680 aibs_perisomatic 475622680_fit.json v1 i23Htr3a biophysical Htr3a-Cre_NO152_Ai14-185555.03.01.01_491119960_m.swc ctdb:Biophys1.hoc VisL23 i
475622793 aibs_perisomatic 475622793_fit.json v1 i23Htr3a biophysical Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc ctdb:Biophys1.hoc VisL23 i
479220013 aibs_perisomatic 479220013_fit.json v1 i23Htr3a biophysical Htr3a-Cre_NO152_Ai14-195039.04.02.01_491119581_m.swc ctdb:Biophys1.hoc VisL23 i
100000105  i23Pvalb_avg_lif.json v1 LIFi23Pvalb point_process  nrn:IntFire1 VisL23 i
341442651 aibs_perisomatic 341442651_fit.json v1 i23Pvalb biophysical Pvalb-IRES-Cre_Ai14-178310.02.01.01_513557093_m.swc ctdb:Biophys1.hoc VisL23 i
484635029 aibs_perisomatic 484635029_fit.json v1 i23Pvalb biophysical Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc ctdb:Biophys1.hoc VisL23 i
488501071 aibs_perisomatic 488501071_fit.json v1 i23Pvalb biophysical Pvalb-IRES-Cre_Ai14-212440.05.02.01_500961631_m.swc ctdb:Biophys1.hoc VisL23 i
100000113  i23Sst_avg_lif.json v1 LIFi23Sst point_process  nrn:IntFire1 VisL23 i
324493977 aibs_perisomatic 324493977_fit.json v1 i23Sst biophysical Sst-IRES-Cre_Ai14-173196.03.01.01_491770223_m.swc ctdb:Biophys1.hoc VisL23 i
473540161 aibs_perisomatic 473540161_fit.json v1 i23Sst biophysical Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc ctdb:Biophys1.hoc VisL23 i
475068599 aibs_perisomatic 475068599_fit.json v1 i23Sst biophysical Sst-IRES-Cre_Ai14-183332.06.02.01_495889919_m.swc ctdb:Biophys1.hoc VisL23 i
476686112 aibs_perisomatic 476686112_fit.json v1 i23Sst biophysical Sst-IRES-Cre_Ai14-188740.03.02.01_491119369_m.swc ctdb:Biophys1.hoc VisL23 i
100000116  e4Nr5a1_avg_lif.json v1 LIFe4Nr5a1 point_process  nrn:IntFire1 VisL4 e
318733871 aibs_perisomatic 318733871_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-169248.04.02.01_491253825_m.swc ctdb:Biophys1.hoc VisL4 e
318808427 aibs_perisomatic 318808427_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-169250.03.02.01_491119754_m.swc ctdb:Biophys1.hoc VisL4 e
370351753 aibs_perisomatic 370351753_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-177332.03.01.01_491120166_m.swc ctdb:Biophys1.hoc VisL4 e
386049446 aibs_perisomatic 386049446_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc ctdb:Biophys1.hoc VisL4 e
397351623 aibs_perisomatic 397351623_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-177834.02.01.01_491458970_m.swc ctdb:Biophys1.hoc VisL4 e
422738880 aibs_perisomatic 422738880_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-178521.04.02.01_492100683_m.swc ctdb:Biophys1.hoc VisL4 e
475459689 aibs_perisomatic 475459689_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-184650.06.01.01_491392945_m.swc ctdb:Biophys1.hoc VisL4 e
476455864 aibs_perisomatic 476455864_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-187779.04.01.01_491771365_m.swc ctdb:Biophys1.hoc VisL4 e
476457450 aibs_perisomatic 476457450_fit.json v1 e4Nr5a1 biophysical Nr5a1-Cre_Ai14-187780.03.02.01_491253858_m.swc ctdb:Biophys1.hoc VisL4 e
100000108  e4Rorb_avg_lif.json v1 LIFe4Rorb point_process  nrn:IntFire1 VisL4 e
314642645 aibs_perisomatic 314642645_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-168052.03.02.01_491770140_m.swc ctdb:Biophys1.hoc VisL4 e
324025371 aibs_perisomatic 324025371_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-172651.01.01.01_491770168_m.swc ctdb:Biophys1.hoc VisL4 e
