edge_type_id target_query source_query weight_function dynamics_params target_sections syn_weight delay distance_range model_template weight_sigma
100 node_type_id=='100000101' pop_name=='e5Rbp4' DirectionRule_EE instanteneousExc.json NULL 0.0359759875443 1.5 NULL NULL 30.0
101 node_type_id=='100000101' pop_name=='e23Cux2' DirectionRule_EE instanteneousExc.json NULL 0.0177408938576 1.8 NULL NULL 30.0
102 node_type_id=='100000101' pop_name=='i6Pvalb' DirectionRule_others instanteneousInh.json NULL 0.0152088395155 0.9 NULL NULL 90.0
103 node_type_id=='100000101' pop_name=='e4Scnn1a' DirectionRule_EE instanteneousExc.json NULL 0.0150363325007 1.5 NULL NULL 30.0
104 node_type_id=='100000101' pop_name=='i23Pvalb' DirectionRule_others instanteneousInh.json NULL 0.00113008845921 0.9 NULL NULL 90.0
105 node_type_id=='100000101' pop_name=='e4other' DirectionRule_EE instanteneousExc.json NULL 0.0150363325007 1.5 NULL NULL 30.0
106 node_type_id=='100000101' pop_name=='i5Pvalb' DirectionRule_others instanteneousInh.json NULL 0.00506961317185 0.9 NULL NULL 90.0
107 node_type_id=='100000101' pop_name=='i4Pvalb' DirectionRule_others instanteneousInh.json NULL 0.00450815139788 0.9 NULL NULL 90.0
108 node_type_id=='100000101' pop_name=='LIFe4Rorb' DirectionRule_EE instanteneousExc.json NULL 0.0150363325007 1.5 NULL NULL 30.0
109 node_type_id=='100000101' pop_name=='e4Rorb' DirectionRule_EE instanteneousExc.json NULL 0.0150363325007 1.5 NULL NULL 30.0
110 node_type_id=='100000101' pop_name=='i4Sst' DirectionRule_others instanteneousInh.json NULL 0.00205008026393 1.5 NULL NULL 90.0
111 node_type_id=='100000101' pop_name=='e4Nr5a1' DirectionRule_EE instanteneousExc.json NULL 0.0150363325007 1.5 NULL NULL 30.0
112 node_type_id=='100000101' pop_name=='e5noRbp4' DirectionRule_EE instanteneousExc.json NULL 0.0359759875443 1.5 NULL NULL 30.0
113 node_type_id=='100000101' pop_name=='e6Ntsr1' DirectionRule_EE instanteneousExc.json NULL 0.00541163173066 3.5 NULL NULL 30.0
114 node_type_id=='100000101' pop_name=='i6Htr3a' DirectionRule_others instanteneousInh.json NULL 0.0017986174408199996 1.5 NULL NULL 90.0
115 node_type_id=='100000101' pop_name=='e4Rorb' DirectionRule_EE instanteneousInh.json NULL 0.0 1.5 NULL NULL 30.0
116 node_type_id=='100000101' pop_name=='i23Sst' DirectionRule_others instanteneousInh.json NULL 0.00156343861382 1.5 NULL NULL 90.0
117 node_type_id=='100000101' pop_name=='i6Htr3a' DirectionRule_others instanteneousInh.json NULL 0.0017986174408199996 1.5 NULL NULL 90.0
118 node_type_id=='100000101' pop_name=='i5Htr3a' DirectionRule_others instanteneousInh.json NULL 0.0017986174408199996 1.5 NULL NULL 90.0
119 node_type_id=='100000101' pop_name=='i6Sst' DirectionRule_others instanteneousInh.json NULL 0.00195643428067 1.5 NULL NULL 90.0
